JHG1,JHG2,JHG3,JHG4,JHG,CENTRE,JHGBIS,AUTO,AUTOBIS,AUTOTRIS,VOTESA,VOTEIND,VOTECH,VOTEQ,VICTOIRE,VOTEHYP1,VOTEHYP2,SEXE,AGE,SCOL,LANGUE,TRAV,PROF,REV,CODE,RELIGION,QUEBEC,IDENT,IDENTP,ESTIME,IDEOLOGI,MONDE,FRANCAIS,COMP,SPIRALE,UTILE,CHOMAGE,PROXPLQ,PROXPQ,PROXADQ,PROXRAP,POLITIS,PRESENT,PESSIMI,POLITIQU,ORIENT,PRESENCE,PARTICIP,PATRIMOI,POIDS,Q1,Q2A,Q2B,Q2C,Q2D,Q3,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q7A,Q7B,Q7C,Q8A,Q8B,Q8C,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11,Q11R,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q14A,Q14B,Q14C,Q14D,Q14E,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q19B1,Q19B2,Q19B3,Q19B4,Q19B5,Q19B6,Q19B7,Q19B8,Q19C1,Q19C2,Q19C3,Q19C4,Q19C5,Q19C6,Q19C7,Q19C8,Q20A,Q20B,Q20C,Q20D,Q20E,Q21A,Q21B,Q21C,Q21D,Q22A,Q22B,Q22C,Q22D,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q32A,Q32B,Q32C,Q32D,Q33A1,Q33A2,Q33A3,Q33B1,Q33B2,Q33B3,Q33C1,Q33C2,Q33C3,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q35A,Q35B,Q36,Q37,Q38A,Q38B,Q38C,Q38D,Q39,Q40,Q41,Q42,Q43,Q44A,Q44B,Q44C,Q44D,Q44E,Q44F,Q44G1,Q44G2,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54A,Q54B,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63A,Q63B,Q63C,Q63D,Q63E,Q63F,Q66A,Q66B,Q66C,Q66D1,Q66D2,Q66E,Q67,Q68A,Q68B,Q69,SEGMENT,Q57R,STR,NPERS3,GRAP,REGION,SEQUENCE,GRAPPE,CARTE,INTERV,TIME3,NPERS1,NPERS2,POSTAL,SEXEA,STATUT,TELPREN,TELREGN,TELSUFN,FILTER_$,NEURO2,ZONE,WTC
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,AUTQ,,,,FEMME,55-64,CEGEP,FRA,TPARTIEL,OUVRIER,25000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8141575778851801,Mieux,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autre,,Non,Oui,Non,Oui,Oui,Change parti,48.0,Collégial,Francais,Temps partiel,Ouvrier spécialisé,20000-29999,,,,,,,,,,,,,,,,,Non-centristes,5.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10079.0,1.0,0.0,940.0,010271531011,2.0,1.0,G7S3W7,F,52.0,548.0,418.0,2316.0,Selected,PQ,Est du Qc,Avant
NON-1,NON-2,OUI-3,OUI-4,2-OUI,CENTRE,2-OUI,S07,AUTOS,SOUV,NON-SA,NON-IND,PROV,PLQ,VOUI,NN-SA,NN-IND,FEMME,55-64,SEC,FRA,TPLEIN,OUVRIER,15000,418,REL++,PAYS,QUEBECOIS,IDENT+,EST-,DD,MOND+,FRA=,COMP--,SPIR++,INUTILE,CHOM=,PLQ+,PQ-,ADQ-,RAP-,POL+,EGAL,PESS=,NEG,OTT+,INT++,12.0,9.0,0.8141575778851801,Aussi bien,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Télévision,Très souvent,Assez souvent,Jamais,Rarement,Très souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Rarement,Assez souvent,Assez souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Rarement,Jamais,Assez souvent,92.5________,Rock Pop (FM),Non,Peu,Beaucoup,Beaucoup,Beaucoup,Peu,Peu,Peu,Peu,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Finir conversation,T-à-f accord,Pays,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Assez bien,Assez important,Ne sert a rien,Un peu,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Proche,Éloigné,Éloigné,Éloigné,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Les deux également,Les deux également,Ottawa,Ottawa,Les deux également,Les deux également,Les deux également,Les deux également,Les deux également,Les deux également,Les deux également,,Gouv. canadien,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Bonne,Rembourser dette,Rembourser dette,Plutôt satisfait,Personne,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,T-à-f suffisant,En appeler peuple,S07,Non,Non,Non,Non,Province,Pour,Annule,PLQ,Non,Oui,Non,Oui,Oui,Même parti,46.0,Secondaire,Francais,Temps plein,Ouvrier spécialisé,"10000-19,999",Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Quelques fois/mois,Assez,Beaucoup,,Centristes,5.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10084.0,1.0,0.0,940.0,  027027,3.0,2.0,G7X8J6,F,51.0,547.0,418.0,7529.0,Selected,PQ,Est du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,,,,,FEMME,25-34,SEC,FRA,TPARTIEL,TECHNIC,5000,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.8141575778851801,Moins bien,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annule,,,,,,,,26.0,Secondaire,Francais,Temps partiel,Technicien,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,2.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10088.0,1.0,0.0,940.0,  0192541011,2.0,1.0,G7H3N4,F,52.0,690.0,418.0,9119.0,Selected,PLQ,Est du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,HOMME,55-64,UNIV,FRA,TPLEIN,ADMINIST,55000,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,1.1248213178143576,Moins bien,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Oui,Oui,Non,Oui,Oui,Même parti,45.0,Universitaire,Francais,Temps plein,Administrateur,"50000-59,999",,,,,,,,,,,,,,,,,Non-centristes,5.0,2744.7368421097394,1.0,2.389175257732053,Saguenay-Lac-St-Jean,10089.0,1.0,0.0,940.0,  0271531011,2.0,1.0,G7S1R3,M,52.0,548.0,418.0,2448.0,Selected,PQ,Est du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,,,,OUI-SA,,PROV,PLQ,,OO-SA,DD-IND,FEMME,65+,PRIM,FRA,RETRAITE,,25000,418,REL++,PAYS,C-F,IDENT+,EST-,,MOND=,FRA=,COMP-,SPIR++,UTILE,CHOM-,PLQ=,PQ=,ADQ-,,POL--,PIRE,PESS=,,QUE++,,10.0,11.0,0.8141575778851801,Moins bien,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt accord,Télévision,Très souvent,Assez souvent,Assez souvent,Rarement,Très souvent,Très souvent,Assez souvent,Rarement,Rarement,Assez souvent,Très souvent,Très souvent,Très souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Très souvent,Jamais,Très souvent,"92,05_______",Rock Pop (FM),Non,Pas-du-tout,Beaucoup,Beaucoup,Beaucoup,Assez,Assez,Peu,Assez,Jamais,Jamais,Jamais,Rarement,Jamais,Finir conversation,Plutôt accord,Pays,Canadien français,,,,,,,,,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt désaccord,,,,,,,,,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt accord,,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,,T-à-f mal,Assez important,Utile,Aucun,,Restée la même,Va rester la même,Va rester la même,Oui,Oui,,,Oui,Non,Oui,Non,Plus ou moins,Plus ou moins,Éloigné,,,,,,,,,,,Québec,Québec,Québec,,Québec,Québec,,,,,,,Municipalité,T-à-f désaccord,T-à-f désaccord,,,,,,Plutôt satisfait,,,Très important,,Assez important,,,,,,,,Oui,,Nsp,Nsp,Province,,PLQ,,Non,Oui,Oui,Non,Oui,Même parti,72.0,Primaire,Francais,Retraité,,20000-29999,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Une fois/sem,Beaucoup,Beaucoup,,Centristes,6.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10096.0,1.0,0.0,940.0,  030154,2.0,1.0,G7P2J6,F,51.0,672.0,418.0,4939.0,Selected,PQ,Est du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,25-34,CEGEP,FRA,TPLEIN,EMPLOYE,25000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8141575778851801,Mieux,Plutôt désaccord,T-à-f accord,T-à-f accord,Plutôt accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Non,Même parti,26.0,Collégial,Francais,Temps plein,Employé bureau,20000-29999,,,,,,,,,,,,,,,,,Non-centristes,2.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10100.0,1.0,0.0,940.0,  0190531011,2.0,1.0,G7B1A1,F,52.0,544.0,418.0,129.0,Selected,PQ,Est du Qc,Avant
,OUI-2,NON-3,NON-4,,,,S05,AUTOC,CENTR,,,,,VNOUI,DN-SA,DN-IND,FEMME,55-64,CEGEP,FRA,RETRAITE,,25000,418,REL-,PROVINCE,QUEBECOIS,IDENT--,EST-,GG,,FRA=,COMP++,SPIR+,UTILE,CHOM-,PLQ-,PQ-,ADQ-,RAP-,POL--,EGAL,PESS=,POS+,QUE+,INT+,12.0,10.0,0.8141575778851801,Aussi bien,,T-à-f accord,Plutôt désaccord,Plutôt désaccord,Télévision,Très souvent,Très souvent,Assez souvent,Assez souvent,Très souvent,Très souvent,Très souvent,Jamais,Jamais,Rarement,Rarement,Assez souvent,Assez souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Très souvent,Jamais,Très souvent,CJAB________,Radio Énergie (FM),Non,Peu,Peu,Assez,Beaucoup,Beaucoup,Beaucoup,Beaucoup,Assez,Jamais,Jamais,Jamais,Jamais,Jamais,Écouter opinion,T-à-f désaccord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt accord,T-à-f accord,Plutôt désaccord,Plutôt désaccord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,,T-à-f désaccord,,Assez bien,P-d-t important,Utile,Aucun,Détériorée,Restée la même,Va rester la même,Va rester la même,Non,Non,Non,Non,Oui,Non,Oui,Non,Éloigné,Éloigné,Éloigné,Éloigné,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Les deux également,Les deux également,Québec,Québec,,Les deux également,Les deux également,Ottawa,Québec,Les deux également,Les deux également,,,Plutôt accord,T-à-f désaccord,T-à-f désaccord,Plutôt accord,Bonne,Baisser impots,Baisser impots,Plutôt insatisfait,Plus riches,Assez important,Très important,P-d-t important,P-d-t important,P-d-t important,Assez important,Assez important,Assez important,Plus ou moins,En appeler peuple,S05,,Non,Nsp,Non,,Egalite,Nsp,,,,,,,Change parti,54.0,Collégial,Francais,Retraité,,20000-29999,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Rarement,Assez,Assez,,Centristes,5.0,2744.7368421097394,2.0,1.7293103448270082,Saguenay-Lac-St-Jean,10107.0,1.0,0.0,930.0,  030069,3.0,1.0,G8B1C7,F,51.0,662.0,418.0,7204.0,Selected,PQ,Est du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,65+,PRIM,FRA,MAISON,,5000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8141575778851801,Mieux,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Même parti,66.0,Primaire,Francais,Soins maison,,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,6.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10117.0,2.0,0.0,940.0,  0301681011,3.0,2.0,G0V1R0,F,52.0,672.0,418.0,2282.0,Selected,PQ,Est du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S10,AUTOSS,SOUV,OUI-SA,OUI-IND,PAYS,PQ,VOUI,OO-SA,OO-IND,HOMME,65+,SEC,FRA,RETRAITE,,25000,418,REL++,PEUPLE,QUEBECOIS,IDENT++,EST-,CC,,FRA+,COMP+,SPIR-,UTILE,CHOM-,PLQ-,PQ+,ADQ=,RAP-,,MIEUX,PESS=,POS+,QUE++,INT++,10.0,10.0,1.1248213178143576,Mieux,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Télévision,Assez souvent,Assez souvent,Rarement,Jamais,Très souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,,Assez souvent,94.5 FM_____,Radio Énergie (FM),Non,Beaucoup,Peu,Pas-du-tout,Beaucoup,Beaucoup,Assez,Peu,Assez,Rarement,Rarement,Jamais,Assez souvent,,Exprimer opinion,Plutôt désaccord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt désaccord,,Plutôt accord,,Assez bien,Assez important,Utile,Aucun,Restée la même,Restée la même,Va rester la même,Va rester la même,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Éloigné,Proche,Plus ou moins,Éloigné,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Très grandes,Peu différences,Très grandes,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Ottawa,Les deux également,Jeunes,Secteur privé,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Personne,Assez important,Assez important,Très important,Peu important,Assez important,Très important,Très important,Très important,Plus ou moins,En appeler peuple,S10,Oui,,Oui,,Pays,Pour,PQ,,Non,Oui,Non,Oui,Oui,Même parti,66.0,Secondaire,Francais,Retraité,,20000-29999,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Quelques fois/mois,Beaucoup,Assez,,Centristes,6.0,2744.7368421097394,1.0,2.389175257732053,Saguenay-Lac-St-Jean,10118.0,1.0,0.0,940.0,  027021,2.0,1.0,G7X3T6,M,51.0,542.0,418.0,8078.0,Selected,PQ,Est du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S08,AUTOS,SOUV,OUI-SA,OUI-IND,PAYS,PQ,VOUI,OO-SA,OO-IND,FEMME,55-64,SEC,FRA,MAISON,,5000,418,REL-,PROVINCE,QUEBECOIS,IDENT--,EST=,CG,MOND=,FRA=,COMP++,SPIR++,UTILE,CHOM-,PLQ-,PQ+,ADQ-,RAP-,POL=,PIRE,PESS=,POS,,INT++,11.0,11.0,0.8141575778851801,Moins bien,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Journaux,Très souvent,Assez souvent,Très souvent,Assez souvent,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Assez souvent,Assez souvent,Assez souvent,Rarement,Assez souvent,Assez souvent,Jamais,Jamais,Assez souvent,Très souvent,Jamais,Assez souvent,CBJ_________,,Oui,Pas-du-tout,Peu,Peu,Beaucoup,Beaucoup,Assez,Assez,Peu,Rarement,Rarement,Jamais,Rarement,Rarement,Finir conversation,T-à-f désaccord,Province,Québécois,,,,,,,,,,,,,,,,,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt désaccord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Assez bien,Très important,Utile,Aucun,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Éloigné,Proche,Éloigné,Éloigné,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Assez grandes,Peu différences,Peu différences,Les deux également,,,Québec,Québec,Les deux également,Les deux également,Les deux également,Québec,,,Jeunes,Gouv. québécois,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Bonne,Baisser impots,Baisser impots,Plutôt insatisfait,Personne,Assez important,Très important,Assez important,Peu important,Très important,Très important,Très important,Très important,P-d-t suffisant,En appeler peuple,S08,Oui,,Oui,,Pays,Pour,PQ,,Non,Oui,Non,Oui,Non,Même parti,51.0,Secondaire,Francais,Soins maison,,Moins de 10000$,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Quelques fois/an,Assez,Peu,,Centristes,5.0,2744.7368421097394,2.0,1.7293103448270082,Saguenay-Lac-St-Jean,10123.0,1.0,0.0,940.0,  027054,3.0,1.0,G7X3T1,F,51.0,547.0,418.0,6435.0,Selected,PQ,Est du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,25-34,UNIV,FRA,ETUDES,,5000,418,,,,,,,,,,,,,,,,,,EGAL,,,,,,,0.8141575778851801,Aussi bien,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Oui,Oui,Non,Même parti,26.0,Universitaire,Francais,Études,,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,2.0,2744.7368421097394,2.0,1.7293103448270082,Saguenay-Lac-St-Jean,10123.0,2.0,0.0,940.0,  0270541011,3.0,1.0,G7X3T1,F,52.0,547.0,418.0,6435.0,Selected,PQ,Est du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,AUTQ,,,,FEMME,35-44,UNIV,FRA,TPLEIN,TECHNIC,55000,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.8141575778851801,Moins bien,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autre,,Non,Oui,Non,Non,Non,Change parti,37.0,Universitaire,Francais,Temps plein,Technicien,"50000-59,999",,,,,,,,,,,,,,,,,Non-centristes,3.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10163.0,1.0,0.0,940.0,  0192691011,1.0,0.0,G7G1R4,F,52.0,543.0,418.0,1735.0,Selected,PLQ,Est du Qc,Après
NON-1,NON-2,OUI-3,OUI-4,2-OUI,CENTRE,2-OUI,S08,AUTOS,SOUV,NON-SA,OUI-IND,PROV,PQ,VNON,NO-SA,OO-IND,HOMME,18-24,SEC,FRA,ETUDES,,5000,418,REL+,PROVINCE,QUEBECOIS,IDENT++,EST-,GG,MOND=,FRA++,COMP++,SPIR-,UTILE,CHOM-,PLQ+,PQ+,ADQ-,RAP+,,PIRE,OPT+,POS,OTT+,INT+,11.0,12.0,1.1248213178143576,Moins bien,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f accord,Journaux,Très souvent,Très souvent,Rarement,Très souvent,Rarement,Très souvent,Rarement,Rarement,Assez souvent,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Très souvent,Jamais,Très souvent,"CJAB 94,5___",Radio Énergie (FM),Non,Assez,Assez,Pas-du-tout,Assez,Assez,Peu,Assez,Assez,Rarement,,Rarement,Rarement,Rarement,Exprimer opinion,T-à-f désaccord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Pas très bien,Très important,Utile,Aucun,Détériorée,Restée la même,Va s'améliorer,Va rester la même,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Proche,Proche,Éloigné,Proche,Peu différences,Assez grandes,Très grandes,,,,,,,Ottawa,Ottawa,Québec,Québec,Ottawa,Québec,Québec,Québec,Ottawa,Ottawa,Québec,Personnes âgées,Famille,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Bonne,Rembourser dette,Baisser impots,Plutôt satisfait,Personne,Assez important,Assez important,Très important,Très important,Assez important,Très important,Très important,Peu important,Plus ou moins,En appeler peuple,S08,Non,Oui,Oui,,Province,Contre,PQ,,Oui,Non,Oui,Non,Oui,Change parti,18.0,Secondaire,Francais,Études,,Moins de 10000$,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Rarement,Beaucoup,Beaucoup,,Centristes,1.0,2744.7368421097394,1.0,2.389175257732053,Saguenay-Lac-St-Jean,10168.0,1.0,0.0,930.0,  030021,3.0,2.0,G0W2A0,M,51.0,349.0,418.0,8491.0,Selected,PQ,Est du Qc,Après
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,,,,,HOMME,55-64,SEC,FRA,RETRAITE,,25000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,1.1248213178143576,Mieux,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pr,,,,,,,,54.0,Secondaire,Francais,Retraité,,20000-29999,,,,,,,,,,,,,,,,,Non-centristes,5.0,2744.7368421097394,1.0,2.389175257732053,Saguenay-Lac-St-Jean,10168.0,2.0,0.0,930.0,  0300211011,3.0,2.0,G0W2A0,M,52.0,349.0,418.0,8491.0,Selected,PLQ,Est du Qc,Après
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,25-34,SEC,FRA,MAISON,,5000,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.8141575778851801,Moins bien,T-à-f désaccord,T-à-f accord,Plutôt accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Change parti,27.0,Secondaire,Francais,Soins maison,,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,2.0,2744.7368421097394,1.0,1.7293103448270082,Saguenay-Lac-St-Jean,10170.0,1.0,0.0,920.0,  0582611011,1.0,0.0,G0W1R0,F,52.0,258.0,418.0,3423.0,Selected,PQ,Est du Qc,Après
