TYPEINCIDENT,DESCRIPTION,DATEINCIDENT,ANNEE,OBJECTID,DATETEXTE,x,y
1,Accident avec blessés,11/26/2024 5:00:00 AM,2024,36,2024-11-26,-8005946.3953,5684495.8568
1,Accident avec blessés,2/11/2022 5:00:00 AM,2022,37,2022-02-11,-7998318.6864,5691201.7724
1,Accident avec blessés,1/30/2022 5:00:00 AM,2022,38,2022-01-30,-8015404.6899,5686049.9282
1,Accident avec blessés,5/2/2023 4:00:00 AM,2023,39,2023-05-02,-7998694.1144,5686107.5259
1,Accident avec blessés,4/14/2023 4:00:00 AM,2023,40,2023-04-14,-8010905.306,5682427.2902
1,Accident avec blessés,5/30/2022 4:00:00 AM,2022,41,2022-05-30,-8023820.925,5670780.7396
1,Accident avec blessés,8/13/2022 4:00:00 AM,2022,42,2022-08-13,-8010262.646,5680054.3087
1,Accident avec blessés,6/22/2022 4:00:00 AM,2022,43,2022-06-22,-8010345.7225,5695437.7605
1,Accident avec blessés,1/17/2022 5:00:00 AM,2022,44,2022-01-17,-8005931.3286,5686004.9155
1,Accident avec blessés,5/19/2024 4:00:00 AM,2024,45,2024-05-19,-8003238.9043,5684444.2733
1,Accident avec blessés,12/20/2024 5:00:00 AM,2024,46,2024-12-20,-8021041.9508,5673632.7565
1,Accident avec blessés,5/20/2022 4:00:00 AM,2022,47,2022-05-20,-8019504.6357,5679987.8104
1,Accident avec blessés,1/14/2022 5:00:00 AM,2022,48,2022-01-14,-8001474.5503,5686164.7149
1,Accident avec blessés,3/12/2022 5:00:00 AM,2022,49,2022-03-12,-8020000.0448,5672375.8467
1,Accident avec blessés,3/16/2022 4:00:00 AM,2022,50,2022-03-16,-8001618.007,5684422.1571
1,Accident avec blessés,11/26/2022 5:00:00 AM,2022,51,2022-11-26,-8001648.7695,5685596.7545
1,Accident avec blessés,5/6/2023 4:00:00 AM,2023,52,2023-05-06,-8020310.3298,5675168.5176
1,Accident avec blessés,7/4/2022 4:00:00 AM,2022,53,2022-07-04,-8013204.5751,5684007.6036
1,Accident avec blessés,2/17/2024 5:00:00 AM,2024,54,2024-02-17,-8007948.433,5684908.869
1,Accident avec blessés,5/10/2022 4:00:00 AM,2022,55,2022-05-10,-8003637.7621,5684116.5708
2,Accident mortel,11/22/2022 5:00:00 AM,2022,56,2022-11-22,-8003881.1854,5683071.2485
1,Accident avec blessés,3/23/2022 4:00:00 AM,2022,57,2022-03-23,-8019731.1293,5677027.38
1,Accident avec blessés,12/2/2022 5:00:00 AM,2022,58,2022-12-02,-8005947.9777,5684480.5814
1,Accident avec blessés,2/18/2022 5:00:00 AM,2022,59,2022-02-18,-8024553.5399,5681558.6479
1,Accident avec blessés,10/29/2024 4:00:00 AM,2024,60,2024-10-29,-8004754.1784,5684516.2298
1,Accident avec blessés,5/19/2022 4:00:00 AM,2022,61,2022-05-19,-8000416.9198,5683983.6075
1,Accident avec blessés,6/4/2022 4:00:00 AM,2022,62,2022-06-04,-8014533.5686,5683953.656
1,Accident avec blessés,9/10/2024 4:00:00 AM,2024,63,2024-09-10,-8011872.7365,5681644.2863
1,Accident avec blessés,1/2/2022 5:00:00 AM,2022,64,2022-01-02,-8014372.1479,5680568.6413
1,Accident avec blessés,4/28/2022 4:00:00 AM,2022,65,2022-04-28,-8001000.7098,5685990.8536
1,Accident avec blessés,12/7/2023 5:00:00 AM,2023,66,2023-12-07,-8010925.8798,5687717.4057
1,Accident avec blessés,8/30/2022 4:00:00 AM,2022,67,2022-08-30,-8002655.17,5685856.3696
1,Accident avec blessés,4/18/2024 4:00:00 AM,2024,68,2024-04-18,-8014392.9618,5679576.3432
1,Accident avec blessés,3/24/2022 4:00:00 AM,2022,69,2022-03-24,-8003970.9491,5682103.6928
1,Accident avec blessés,1/25/2024 5:00:00 AM,2024,70,2024-01-25,-8007079.2093,5692758.7741
1,Accident avec blessés,11/13/2023 5:00:00 AM,2023,71,2023-11-13,-8006696.094,5685729.6924
1,Accident avec blessés,6/27/2022 4:00:00 AM,2022,72,2022-06-27,-8000315.5014,5689073.7718
1,Accident avec blessés,12/1/2022 5:00:00 AM,2022,73,2022-12-01,-8002681.9828,5685016.0339
1,Accident avec blessés,8/16/2022 4:00:00 AM,2022,74,2022-08-16,-8005947.7211,5683572.2446
1,Accident avec blessés,4/12/2024 4:00:00 AM,2024,75,2024-04-12,-7998212.3344,5686211.9406
1,Accident avec blessés,5/21/2024 4:00:00 AM,2024,76,2024-05-21,-8012766.5794,5684727.4675
1,Accident avec blessés,11/4/2022 4:00:00 AM,2022,77,2022-11-04,-8004068.6285,5684504.7211
1,Accident avec blessés,4/15/2023 4:00:00 AM,2023,78,2023-04-15,-8010942.9255,5685338.3443
1,Accident avec blessés,7/8/2022 4:00:00 AM,2022,79,2022-07-08,-7998032.9556,5686288.0037
1,Accident avec blessés,8/18/2022 4:00:00 AM,2022,80,2022-08-18,-8010561.5553,5682797.0847
1,Accident avec blessés,3/29/2023 4:00:00 AM,2023,81,2023-03-29,-8019473.2981,5678346.6049
1,Accident avec blessés,7/10/2022 4:00:00 AM,2022,82,2022-07-10,-8009278.4857,5681152.6336
1,Accident avec blessés,1/30/2023 5:00:00 AM,2023,83,2023-01-30,-8011068.8157,5692440.3813
1,Accident avec blessés,7/11/2022 4:00:00 AM,2022,84,2022-07-11,-8010542.9783,5682877.8725
1,Accident avec blessés,5/2/2022 4:00:00 AM,2022,85,2022-05-02,-8009882.5207,5680631.2039
1,Accident avec blessés,4/13/2022 4:00:00 AM,2022,86,2022-04-13,-8000129.2957,5684126.8873
1,Accident avec blessés,2/23/2022 5:00:00 AM,2022,87,2022-02-23,-8004627.5698,5685279.9121
1,Accident avec blessés,5/28/2022 4:00:00 AM,2022,88,2022-05-28,-8010112.1759,5683479.6451
1,Accident avec blessés,11/3/2023 4:00:00 AM,2023,89,2023-11-03,-8000270.1506,5684123.122
1,Accident avec blessés,2/4/2022 5:00:00 AM,2022,90,2022-02-04,-8005926.8068,5686534.4104
1,Accident avec blessés,5/2/2022 4:00:00 AM,2022,91,2022-05-02,-7996525.2733,5686895.9137
1,Accident avec blessés,6/6/2022 4:00:00 AM,2022,92,2022-06-06,-8000831.9963,5687900.4218
1,Accident avec blessés,8/22/2022 4:00:00 AM,2022,93,2022-08-22,-8015397.2142,5685471.7816
1,Accident avec blessés,11/2/2022 4:00:00 AM,2022,94,2022-11-02,-7996513.9835,5681928.8809
1,Accident avec blessés,2/9/2023 5:00:00 AM,2023,95,2023-02-09,-8010358.5065,5682567.8065
1,Accident avec blessés,3/30/2022 4:00:00 AM,2022,96,2022-03-30,-8011812.1967,5684035.0536
1,Accident avec blessés,8/31/2022 4:00:00 AM,2022,97,2022-08-31,-8010572.2355,5683153.3442
1,Accident avec blessés,6/27/2022 4:00:00 AM,2022,98,2022-06-27,-8002211.905,5685345.9839
1,Accident avec blessés,3/13/2022 5:00:00 AM,2022,99,2022-03-13,-8024960.0206,5672513.5474
1,Accident avec blessés,11/20/2024 5:00:00 AM,2024,100,2024-11-20,-7998456.0478,5688777.0482
1,Accident avec blessés,6/11/2023 4:00:00 AM,2023,101,2023-06-11,-8007809.2266,5685313.7895
1,Accident avec blessés,6/4/2022 4:00:00 AM,2022,102,2022-06-04,-8001085.1094,5679055.1783
1,Accident avec blessés,6/6/2022 4:00:00 AM,2022,103,2022-06-06,-8020550.3728,5683736.9831
1,Accident avec blessés,6/16/2022 4:00:00 AM,2022,104,2022-06-16,-8008216.8874,5684431.0272
1,Accident avec blessés,8/1/2024 4:00:00 AM,2024,105,2024-08-01,-8003546.534,5683775.798
1,Accident avec blessés,7/23/2024 4:00:00 AM,2024,106,2024-07-23,-8007346.746,5692422.4192
1,Accident avec blessés,6/30/2022 4:00:00 AM,2022,107,2022-06-30,-8005947.7211,5683572.2446
1,Accident avec blessés,11/2/2022 4:00:00 AM,2022,108,2022-11-02,-8015453.0211,5689333.6205
1,Accident avec blessés,4/3/2022 4:00:00 AM,2022,109,2022-04-03,-8003960.419,5681636.9683
1,Accident avec blessés,2/17/2022 5:00:00 AM,2022,110,2022-02-17,-8000351.6521,5685989.2165
1,Accident avec blessés,5/14/2022 4:00:00 AM,2022,111,2022-05-14,-8007619.7212,5684437.713
1,Accident avec blessés,5/3/2022 4:00:00 AM,2022,112,2022-05-03,-8005123.2793,5682611.9563
1,Accident avec blessés,6/14/2022 4:00:00 AM,2022,113,2022-06-14,-8015384.7596,5683927.9722
1,Accident avec blessés,6/14/2022 4:00:00 AM,2022,114,2022-06-14,-8002341.1382,5685255.5839
1,Accident avec blessés,7/28/2022 4:00:00 AM,2022,115,2022-07-28,-7998322.3189,5691424.9939
1,Accident avec blessés,1/26/2022 5:00:00 AM,2022,116,2022-01-26,-8003328.9027,5678577.7139
1,Accident avec blessés,2/12/2022 5:00:00 AM,2022,117,2022-02-12,-8002793.3335,5684935.1936
1,Accident avec blessés,3/19/2023 4:00:00 AM,2023,118,2023-03-19,-8010932.2097,5682377.7091
1,Accident avec blessés,6/15/2022 4:00:00 AM,2022,119,2022-06-15,-8008652.3845,5696608.732
1,Accident avec blessés,1/31/2022 5:00:00 AM,2022,120,2022-01-31,-8009440.3955,5692424.8633
1,Accident avec blessés,2/2/2022 5:00:00 AM,2022,121,2022-02-02,-8019499.2851,5680225.0094
1,Accident avec blessés,10/31/2024 4:00:00 AM,2024,122,2024-10-31,-8003153.4336,5686405.7319
1,Accident avec blessés,11/25/2022 5:00:00 AM,2022,123,2022-11-25,-8015892.3468,5683914.8277
1,Accident avec blessés,4/10/2022 4:00:00 AM,2022,124,2022-04-10,-8014418.6472,5682829.8277
1,Accident avec blessés,5/5/2022 4:00:00 AM,2022,125,2022-05-05,-7999317.9358,5687448.0305
1,Accident avec blessés,5/3/2022 4:00:00 AM,2022,126,2022-05-03,-8002341.1382,5685255.5839
1,Accident avec blessés,5/17/2022 4:00:00 AM,2022,127,2022-05-17,-8008884.6028,5684181.8298
1,Accident avec blessés,1/25/2022 5:00:00 AM,2022,128,2022-01-25,-8014130.7588,5678897.4594
1,Accident avec blessés,5/6/2022 4:00:00 AM,2022,129,2022-05-06,-8003604.6505,5684705.3804
1,Accident avec blessés,6/18/2024 4:00:00 AM,2024,130,2024-06-18,-8015938.1793,5675635.6668
1,Accident avec blessés,1/10/2022 5:00:00 AM,2022,131,2022-01-10,-7998540.8657,5685876.0034
1,Accident avec blessés,8/20/2022 4:00:00 AM,2022,132,2022-08-20,-8011021.8575,5685149.6697
1,Accident avec blessés,11/2/2024 4:00:00 AM,2024,133,2024-11-02,-7998971.0144,5679367.1964
1,Accident avec blessés,4/20/2023 4:00:00 AM,2023,134,2023-04-20,-8015384.2483,5684120.6596
1,Accident avec blessés,4/9/2022 4:00:00 AM,2022,135,2022-04-09,-8009277.0156,5683964.4868
1,Accident avec blessés,5/13/2022 4:00:00 AM,2022,136,2022-05-13,-8001979.9524,5685235.0164
1,Accident avec blessés,10/2/2024 4:00:00 AM,2024,137,2024-10-02,-8000514.3596,5689846.5031
1,Accident avec blessés,1/12/2023 5:00:00 AM,2023,138,2023-01-12,-8019499.6167,5684001.2279
1,Accident avec blessés,8/25/2022 4:00:00 AM,2022,139,2022-08-25,-8002341.1382,5685255.5839
1,Accident avec blessés,5/8/2022 4:00:00 AM,2022,140,2022-05-08,-8007200.65,5684448.867
1,Accident avec blessés,3/7/2024 5:00:00 AM,2024,141,2024-03-07,-8008044.1319,5686904.7007
1,Accident avec blessés,6/15/2022 4:00:00 AM,2022,142,2022-06-15,-8012081.1014,5680776.4156
1,Accident avec blessés,4/1/2022 4:00:00 AM,2022,143,2022-04-01,-8014695.7518,5683782.0225
1,Accident avec blessés,5/14/2022 4:00:00 AM,2022,144,2022-05-14,-8019007.8651,5684012.4098
1,Accident avec blessés,11/7/2023 5:00:00 AM,2023,145,2023-11-07,-8004890.3186,5682764.9877
1,Accident avec blessés,7/20/2023 4:00:00 AM,2023,146,2023-07-20,-8001602.4734,5686149.3544
1,Accident avec blessés,2/19/2022 5:00:00 AM,2022,147,2022-02-19,-7994768.583,5679722.0669
1,Accident avec blessés,7/18/2022 4:00:00 AM,2022,148,2022-07-18,-8024466.1403,5683340.3136
1,Accident avec blessés,5/7/2022 4:00:00 AM,2022,149,2022-05-07,-8008759.6878,5684250.4505
1,Accident avec blessés,7/13/2022 4:00:00 AM,2022,150,2022-07-13,-8008684.806,5686883.306
1,Accident avec blessés,7/13/2022 4:00:00 AM,2022,151,2022-07-13,-8005805.7308,5691170.6088
1,Accident avec blessés,1/7/2022 5:00:00 AM,2022,152,2022-01-07,-8010266.8447,5680044.3199
1,Accident avec blessés,10/5/2023 4:00:00 AM,2023,153,2023-10-05,-8007346.746,5692422.4192
1,Accident avec blessés,10/4/2023 4:00:00 AM,2023,154,2023-10-04,-8001523.0671,5684035.5359
1,Accident avec blessés,6/12/2022 4:00:00 AM,2022,155,2022-06-12,-8007560.6893,5681786.3177
1,Accident avec blessés,6/17/2024 4:00:00 AM,2024,156,2024-06-17,-8009575.909,5685267.04599999
1,Accident avec blessés,6/18/2024 4:00:00 AM,2024,157,2024-06-18,-8010905.306,5682427.2902
1,Accident avec blessés,5/6/2022 4:00:00 AM,2022,158,2022-05-06,-8013878.0184,5679994.1468
1,Accident avec blessés,5/5/2023 4:00:00 AM,2023,159,2023-05-05,-8010448.5832,5683029.6352
1,Accident avec blessés,8/29/2022 4:00:00 AM,2022,160,2022-08-29,-8001543.4528,5686100.074
1,Accident avec blessés,9/3/2022 4:00:00 AM,2022,161,2022-09-03,-8009667.5028,5695571.8872
1,Accident avec blessés,5/27/2022 4:00:00 AM,2022,162,2022-05-27,-7999673.8298,5686057.1123
1,Accident avec blessés,12/14/2022 5:00:00 AM,2022,163,2022-12-14,-8008270.829,5682540.9187
1,Accident avec blessés,8/29/2022 4:00:00 AM,2022,164,2022-08-29,-8002002.4165,5685675.3044
1,Accident avec blessés,10/5/2022 4:00:00 AM,2022,165,2022-10-05,-8023454.8438,5671318.6875
1,Accident avec blessés,7/24/2024 4:00:00 AM,2024,166,2024-07-24,-8009719.2959,5683371.3041
1,Accident avec blessés,7/25/2024 4:00:00 AM,2024,167,2024-07-25,-8006167.8194,5685292.6058
1,Accident avec blessés,10/31/2022 4:00:00 AM,2022,168,2022-10-31,-8004015.1226,5687076.3789
1,Accident avec blessés,10/12/2022 4:00:00 AM,2022,169,2022-10-12,-7995232.6551,5689552.9327
1,Accident avec blessés,10/9/2022 4:00:00 AM,2022,170,2022-10-09,-8010559.9168,5692435.1747
1,Accident avec blessés,10/13/2022 4:00:00 AM,2022,171,2022-10-13,-8003430.7347,5683308.9968
1,Accident avec blessés,7/26/2024 4:00:00 AM,2024,172,2024-07-26,-8010574.9423,5682812.0092
1,Accident avec blessés,7/28/2024 4:00:00 AM,2024,173,2024-07-28,-7999125.7759,5682490.7204
1,Accident avec blessés,9/21/2022 4:00:00 AM,2022,174,2022-09-21,-8000315.5014,5689073.7718
1,Accident avec blessés,12/17/2022 5:00:00 AM,2022,175,2022-12-17,-8018024.9841,5683881.7443
1,Accident avec blessés,12/14/2022 5:00:00 AM,2022,176,2022-12-14,-8000601.7633,5685910.268
1,Accident avec blessés,4/16/2024 4:00:00 AM,2024,177,2024-04-16,-8009256.7691,5684351.9575
1,Accident avec blessés,12/17/2022 5:00:00 AM,2022,178,2022-12-17,-7996699.6189,5688940.3277
1,Accident avec blessés,7/29/2023 4:00:00 AM,2023,179,2023-07-29,-8003448.1204,5684024.73
1,Accident avec blessés,3/19/2023 4:00:00 AM,2023,180,2023-03-19,-8023196.5728,5682295.5849
1,Accident avec blessés,3/30/2023 4:00:00 AM,2023,181,2023-03-30,-7999032.3929,5679418.7865
1,Accident avec blessés,12/2/2024 5:00:00 AM,2024,182,2024-12-02,-8015358.151,5679647.0618
1,Accident avec blessés,9/20/2022 4:00:00 AM,2022,183,2022-09-20,-8019731.1293,5677027.38
1,Accident avec blessés,5/7/2024 4:00:00 AM,2024,184,2024-05-07,-8003423.409,5683043.0884
1,Accident avec blessés,11/4/2022 4:00:00 AM,2022,185,2022-11-04,-8005669.4569,5684499.9178
1,Accident avec blessés,9/25/2024 4:00:00 AM,2024,186,2024-09-25,-8009759.1346,5685255.118
1,Accident avec blessés,8/21/2024 4:00:00 AM,2024,187,2024-08-21,-8007708.7049,5684434.5675
1,Accident avec blessés,8/23/2024 4:00:00 AM,2024,188,2024-08-23,-8002414.3179,5685203.1221
1,Accident avec blessés,9/20/2022 4:00:00 AM,2022,189,2022-09-20,-8012601.5444,5681141.1459
1,Accident avec blessés,8/26/2024 4:00:00 AM,2024,190,2024-08-26,-8003317.1033,5684596.927
1,Accident avec blessés,1/8/2022 5:00:00 AM,2022,191,2022-01-08,-8003293.7996,5681877.2237
1,Accident avec blessés,3/10/2024 5:00:00 AM,2024,192,2024-03-10,-8017323.0429,5683865.8053
1,Accident avec blessés,10/31/2022 4:00:00 AM,2022,193,2022-10-31,-8013340.7809,5682410.0271
1,Accident avec blessés,3/10/2024 5:00:00 AM,2024,194,2024-03-10,-8019737.6884,5677126.2515
1,Accident avec blessés,10/27/2024 4:00:00 AM,2024,195,2024-10-27,-8007540.777,5685311.4056
1,Accident avec blessés,1/18/2023 5:00:00 AM,2023,196,2023-01-18,-7999238.1434,5686132.2911
1,Accident avec blessés,9/25/2022 4:00:00 AM,2022,197,2022-09-25,-8001995.5775,5685900.8693
1,Accident avec blessés,4/11/2023 4:00:00 AM,2023,198,2023-04-11,-8005630.8026,5684501.1231
1,Accident avec blessés,12/6/2022 5:00:00 AM,2022,199,2022-12-06,-8001730.1884,5682403.4875
1,Accident avec blessés,9/24/2022 4:00:00 AM,2022,200,2022-09-24,-8013691.7972,5680176.9567
1,Accident avec blessés,12/13/2022 5:00:00 AM,2022,201,2022-12-13,-7997459.5962,5685483.6455
1,Accident avec blessés,4/11/2023 4:00:00 AM,2023,202,2023-04-11,-8008216.8874,5684431.0272
1,Accident avec blessés,12/30/2022 5:00:00 AM,2022,203,2022-12-30,-8014330.7127,5683961.7859
1,Accident avec blessés,11/13/2023 5:00:00 AM,2023,204,2023-11-13,-8013899.9736,5680000.7993
1,Accident avec blessés,11/8/2022 5:00:00 AM,2022,205,2022-11-08,-8006355.4408,5691637.5012
1,Accident avec blessés,12/17/2022 5:00:00 AM,2022,206,2022-12-17,-8024904.0291,5673190.8679
1,Accident avec blessés,12/19/2022 5:00:00 AM,2022,207,2022-12-19,-8020550.3728,5683736.9831
1,Accident avec blessés,12/8/2022 5:00:00 AM,2022,208,2022-12-08,-8008959.339,5684140.5844
1,Accident avec blessés,8/15/2023 4:00:00 AM,2023,209,2023-08-15,-8015806.5838,5678495.4822
1,Accident avec blessés,1/8/2022 5:00:00 AM,2022,210,2022-01-08,-8000459.0409,5688148.4648
1,Accident avec blessés,7/1/2024 4:00:00 AM,2024,211,2024-07-01,-8022960.1623,5671802.7082
1,Accident avec blessés,10/27/2024 4:00:00 AM,2024,212,2024-10-27,-8010604.0922,5688172.7194
1,Accident avec blessés,8/22/2024 4:00:00 AM,2024,213,2024-08-22,-8011539.0007,5682025.3647
1,Accident avec blessés,8/24/2024 4:00:00 AM,2024,214,2024-08-24,-8024956.8063,5671137.579
1,Accident avec blessés,8/25/2024 4:00:00 AM,2024,215,2024-08-25,-8016185.1139,5676781.7159
1,Accident avec blessés,8/27/2024 4:00:00 AM,2024,216,2024-08-27,-8014367.5524,5679446.1168
1,Accident avec blessés,8/27/2024 4:00:00 AM,2024,217,2024-08-27,-8020711.6304,5690169.1786
1,Accident avec blessés,4/24/2023 4:00:00 AM,2023,218,2023-04-24,-8004021.3711,5682224.3023
1,Accident avec blessés,2/26/2022 5:00:00 AM,2022,219,2022-02-26,-8011163.871,5688183.6703
1,Accident avec blessés,8/27/2024 4:00:00 AM,2024,220,2024-08-27,-8015977.5989,5683912.1899
1,Accident avec blessés,2/17/2023 5:00:00 AM,2023,221,2023-02-17,-8010154.3565,5685231.41
1,Accident avec blessés,2/18/2023 5:00:00 AM,2023,222,2023-02-18,-8014392.9618,5679576.3432
1,Accident avec blessés,8/30/2024 4:00:00 AM,2024,223,2024-08-30,-8004084.3995,5683474.2045
1,Accident avec blessés,8/4/2024 4:00:00 AM,2024,224,2024-08-04,-7996640.4053,5688093.0107
1,Accident avec blessés,4/12/2023 4:00:00 AM,2023,225,2023-04-12,-8005805.7308,5691170.6088
1,Accident avec blessés,5/7/2024 4:00:00 AM,2024,226,2024-05-07,-8002918.0978,5684074.7257
1,Accident avec blessés,2/23/2023 5:00:00 AM,2023,227,2023-02-23,-7999117.8397,5685413.3137
1,Accident avec blessés,9/28/2022 4:00:00 AM,2022,228,2022-09-28,-8004951.8403,5688359.9795
1,Accident avec blessés,1/13/2023 5:00:00 AM,2023,229,2023-01-13,-8001148.1252,5681943.137
1,Accident avec blessés,2/7/2024 5:00:00 AM,2024,230,2024-02-07,-7997947.7537,5679838.0796
1,Accident avec blessés,10/12/2023 4:00:00 AM,2023,231,2023-10-12,-8008681.3139,5686418.1926
1,Accident avec blessés,7/16/2024 4:00:00 AM,2024,232,2024-07-16,-8001818.0362,5683932.0535
1,Accident avec blessés,8/23/2022 4:00:00 AM,2022,233,2022-08-23,-7999158.997,5692730.8296
1,Accident avec blessés,6/4/2024 4:00:00 AM,2024,234,2024-06-04,-8009378.3573,5695669.634
1,Accident avec blessés,9/3/2022 4:00:00 AM,2022,235,2022-09-03,-8017321.1557,5674930.1537
1,Accident avec blessés,2/22/2023 5:00:00 AM,2023,236,2023-02-22,-7997947.7537,5679838.0796
1,Accident avec blessés,2/23/2023 5:00:00 AM,2023,237,2023-02-23,-7998509.6158,5686465.7658
1,Accident avec blessés,9/28/2022 4:00:00 AM,2022,238,2022-09-28,-7996785.5539,5679437.5852
1,Accident avec blessés,12/16/2022 5:00:00 AM,2022,239,2022-12-16,-8015344.3265,5684439.9902
1,Accident avec blessés,3/7/2024 5:00:00 AM,2024,240,2024-03-07,-8009283.4717,5683939.9651
1,Accident avec blessés,7/18/2024 4:00:00 AM,2024,241,2024-07-18,-8008995.6673,5676737.5313
1,Accident avec blessés,2/10/2023 5:00:00 AM,2023,242,2023-02-10,-8000859.9456,5688196.7182
1,Accident avec blessés,1/25/2023 5:00:00 AM,2023,243,2023-01-25,-8005054.6707,5684508.2656
1,Accident avec blessés,1/28/2024 5:00:00 AM,2024,244,2024-01-28,-8007558.1595,5681763.4949
1,Accident avec blessés,7/7/2024 4:00:00 AM,2024,245,2024-07-07,-8007675.425,5679447.7424
1,Accident avec blessés,1/24/2023 5:00:00 AM,2023,246,2023-01-24,-8010151.9961,5685351.3981
1,Accident avec blessés,8/24/2022 4:00:00 AM,2022,247,2022-08-24,-8005812.508,5691157.0558
1,Accident avec blessés,7/6/2024 4:00:00 AM,2024,248,2024-07-06,-8020544.1339,5681298.6214
1,Accident avec blessés,2/6/2023 5:00:00 AM,2023,249,2023-02-06,-7996482.8939,5679524.3143
1,Accident avec blessés,1/11/2024 5:00:00 AM,2024,250,2024-01-11,-8009283.4717,5683939.9651
1,Accident avec blessés,1/16/2024 5:00:00 AM,2024,251,2024-01-16,-8004068.6285,5684504.7211
1,Accident avec blessés,1/15/2024 5:00:00 AM,2024,252,2024-01-15,-8007079.2093,5692758.7741
1,Accident avec blessés,9/22/2023 4:00:00 AM,2023,253,2023-09-22,-8004061.3827,5685396.7807
1,Accident avec blessés,2/9/2023 5:00:00 AM,2023,254,2023-02-09,-8000772.3021,5688601.107
1,Accident avec blessés,5/31/2023 4:00:00 AM,2023,255,2023-05-31,-8003153.4336,5686405.7319
1,Accident avec blessés,7/17/2024 4:00:00 AM,2024,256,2024-07-17,-8002472.8912,5684142.4318
1,Accident avec blessés,2/2/2023 5:00:00 AM,2023,257,2023-02-02,-8003563.7528,5679420.5382
1,Accident avec blessés,2/9/2023 5:00:00 AM,2023,258,2023-02-09,-7999585.4373,5687170.9721
