final_name,label_french
Q_income,Quel est le revenu total de votre ménage avant impôts en 2024?
RecordedDate,Recorded Date
ResponseId,Response ID
StartDate,Start Date
UserAgent,UserAgent
survey_language,Langue du sondage
current_date,current_date
duration_in_minutes,Durée en minutes
ip_address,ip_address
mother_tongue,Langue maternelle (dérivée)
pid,pid
